timestamp,value
401057,1099
401058,1038
401059,966
401060,968
401061,1001
401062,1058
401063,1109
401064,1153
401065,1099
401066,1063
401067,996
401068,994
401069,996
401070,1059
401071,1095
401072,1147
401073,1173
401074,1106
401075,1037
401076,955
401077,957
401078,993
401079,1071
401080,1126
401081,1167
401082,1129
401083,1078
401084,1007
401085,1001
401086,1015
401087,1085
401088,1133
401089,1171
401090,1138
401091,1098
401092,1027
401093,947
401094,954
401095,999
401096,1093
401097,1154
401098,1125
401099,1123
401100,1065
401101,974
401102,982
401103,1015
401104,1095
401105,1154
401106,1137
401107,1135
401108,1110
401109,1037
401110,966
401111,991
401112,1047
401113,1103
401114,1148
401115,1174
401116,1098
401117,1037
401118,960
401119,963
401120,997
401121,1086
401122,1142
401123,1171
401124,1123
401125,1073
401126,999
401127,1001
401128,1017
401129,1073
401130,1121
401131,1155
401132,1115
401133,1083
401134,1017
401135,987
401136,1004
401137,1051
401138,1096
401139,1142
401140,1168
401141,1104
401142,1024
401143,941
401144,938
401145,975
401146,1061
401147,1118
401148,1155
401149,1107
401150,1065
401151,988
401152,973
401153,987
401154,1051
401155,1084
401156,1132
401157,1150
401158,1149
401159,1083
401160,1005
401161,1009
401162,1047
401163,1083
401164,1139
401165,1172
401166,1113
401167,1050
401168,976
401169,967
401170,1010
401171,1073
401172,1116
401173,1156
401174,1113
401175,1073
401176,997
401177,981
401178,1003
401179,1042
401180,1090
401181,1127
401182,1162
401183,1082
401184,1027
401185,937
401186,943
401187,984
401188,1062
401189,1123
401190,1156
401191,1106
401192,1060
401193,988
401194,973
401195,1001
401196,1049
401197,1097
401198,1133
401199,1163
401200,1085
401201,1030
401202,951
401203,959
401204,1014
401205,1107
401206,1167
401207,1147
401208,1150
401209,1102
401210,1039
401211,974
401212,1006
401213,1087
401214,1137
401215,1183
401216,1143
401217,1119
401218,1055
401219,994
401220,1001
401221,1045
401222,1096
401223,1131
401224,1162
401225,1081
401226,1016
401227,990
401228,999
401229,1051
401230,1069
401231,1130
401232,1155
401233,1106
401234,1052
401235,981
401236,973
401237,1003
401238,1073
401239,1103
401240,1162
401241,1119
401242,1098
401243,1027
401244,950
401245,972
401246,1015
401247,1119
401248,1175
401249,1163
401250,1095
401251,1042
401252,967
401253,965
401254,1005
401255,1076
401256,1131
401257,1173
401258,1129
401259,1091
401260,1015
401261,1018
401262,1024
401263,1026
401264,1061
401265,1117
401266,1138
401267,1116
401268,1046
401269,976
401270,970
401271,1006
401272,1102
401273,1164
401274,1141
401275,1141
401276,1094
401277,1018
401278,1012
401279,1034
401280,1050
401281,1090
401282,1130
401283,1134
401284,1098
401285,1024
401286,938
401287,958
401288,1025
401289,1061
401290,1117
401291,1135
401292,1126
401293,1064
401294,989
401295,995
401296,1036
401297,1067
401298,1108
401299,1153
401300,1086
401301,1051
401302,964
401303,953
401304,974
401305,1044
401306,1097
401307,1130
401308,1138
401309,1112
401310,1034
401311,962
401312,957
401313,1013
401314,1110
401315,1162
401316,1147
401317,1135
401318,1085
401319,1009
401320,991
401321,1037
401322,1057
401323,1102
401324,1151
401325,1172
401326,1064
401327,993
401328,975
401329,1006
401330,1067
401331,1113
401332,1161
401333,1123
401334,1109
401335,1043
401336,965
401337,975
401338,1019
401339,1110
401340,1167
401341,1163
401342,1093
401343,1053
401344,974
401345,971
401346,1007
401347,1077
401348,1130
401349,1167
401350,1134
401351,1105
401352,1033
401353,961
401354,965
401355,1025
401356,1052
401357,1099
401358,1123
401359,1107
401360,1044
401361,965
401362,971
401363,1001
401364,1069
401365,1115
401366,1158
401367,1115
401368,1068
401369,999
401370,1001
401371,1003
401372,1072
401373,1107
401374,1147
401375,1167
401376,1099
401377,1028
401378,951
401379,958
401380,1011
401381,1092
401382,1150
401383,1187
401384,1123
401385,1066
401386,983
401387,992
401388,1007
401389,1084
401390,1136
401391,1174
401392,1133
401393,1100
401394,1037
401395,965
401396,991
401397,1053
401398,1098
401399,1143
401400,1171
401401,1115
401402,1047
401403,981
401404,986
401405,1013
401406,1097
401407,1139
401408,1185
401409,1127
401410,1099
401411,1021
401412,1011
401413,1024
401414,1027
401415,1076
401416,1118
401417,1137
401418,1102
401419,1046
401420,966
401421,984
401422,1033
401423,1056
401424,1109
401425,1134
401426,1135
401427,1080
401428,1001
401429,988
401430,1025
401431,1041
401432,1092
401433,1127
401434,1139
401435,1106
401436,1025
401437,950
401438,970
401439,1039
401440,1088
401441,1125
401442,1154
401443,1068
401444,993
401445,977
401446,977
401447,1011
401448,1094
401449,1156
401450,1130
401451,1121
401452,1065
401453,991
401454,987
401455,1017
401456,1069
401457,1122
401458,1156
401459,1114
401460,1079
401461,1016
401462,991
401463,1012
401464,1065
401465,1098
401466,1155
401467,1126
401468,1117
401469,1061
401470,980
401471,975
401472,1017
401473,1093
401474,1146
401475,1183
401476,1138
401477,1107
401478,1032
401479,952
401480,964
401481,1026
401482,1067
401483,1103
401484,1133
401485,1102
401486,1043
401487,958
401488,977
401489,1008
401490,1097
401491,1146
401492,1173
401493,1116
401494,1059
401495,984
401496,965
401497,1011
401498,1073
401499,1120
401500,1157
401501,1112
401502,1076
401503,994
401504,986
401505,994
401506,1047
401507,1094
401508,1139
401509,1171
401510,1098
401511,1042
401512,951
401513,959
401514,1003
401515,1073
401516,1129
401517,1158
401518,1104
401519,1064
401520,979
401521,976
401522,983
401523,1056
401524,1097
401525,1137
401526,1160
401527,1076
401528,1009
401529,982
401530,999
401531,1041
401532,1075
401533,1131
401534,1161
401535,1095
401536,1059
401537,974
401538,980
401539,1003
401540,1065
401541,1110
401542,1156
401543,1111
401544,1083
401545,1017
401546,995
401547,1010
401548,1063
401549,1107
401550,1159
401551,1127
401552,1121
401553,1049
401554,973
401555,971
401556,1005
401557,1089
401558,1141
401559,1185
401560,1130
401561,1087
401562,1006
401563,999
401564,1029
401565,1049
401566,1081
401567,1125
401568,1138
401569,1109
401570,1045
401571,970
